span_minutes,noise_seed,training_rank,activities,condition_number,ols_mean_cost_error,weighted_regression_mean_cost_error,hmm_mean_cost_error,independent_em_mean_cost_error,ols_known_x_test_rmse,weighted_regression_test_rmse,hmm_known_x_test_rmse,independent_decoder_test_rmse,independent_decoder_test_mae,independent_decoder_test_relative_error,independent_decoder_state_accuracy,independent_decoder_event_energy_mae,independent_em_decoder_test_rmse,independent_em_decoder_test_mae,independent_em_decoder_test_relative_error,independent_em_decoder_state_accuracy,independent_em_decoder_event_energy_mae,pooled_decoder_test_rmse,pooled_decoder_test_mae,pooled_decoder_test_relative_error,pooled_decoder_state_accuracy,pooled_decoder_event_energy_mae,variant_decoder_test_rmse,variant_decoder_test_mae,variant_decoder_test_relative_error,variant_decoder_state_accuracy,variant_decoder_event_energy_mae,represented_test_events_percent,weighted_reward_estimator,hmm_reward_estimator,weighted_regression_uses_transitions,hmm_transitions_affect_reward_estimate,uses_true_baseline,main_comparison_uses_logged_test_activities,decoder_uses_test_activity_labels,top_variants_define_scope_before_split
30.0,0,5,5,199.36281818533547,0.009837060408312937,0.00859595833729827,0.00859595833729827,0.00859595833729827,3.8334601009175198,3.8338620764661124,3.8338620764661124,20.112762334302158,6.783815180092037,0.005973588922188977,0.31158571129236284,16.74610963563882,20.112762334302158,6.783815180092037,0.005973588922188977,0.31158571129236284,16.74610963563882,20.393882459402842,7.45030765381835,0.00656047874039299,0.35835849041961243,16.71955533562604,3.822659745881373,2.738977468189363,0.0024118471726818497,0.8532171321697696,6.740612255848711,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
30.0,1,5,5,199.36281818533547,0.0063757477876379195,0.008436120638796752,0.008436120638796752,0.008436120638796752,3.8577100789442893,3.8579848861207244,3.8579848861207244,20.19131783645374,6.861078386117398,0.006041983469868409,0.3102276166603289,16.749761450110814,20.19131783645374,6.861078386117398,0.006041983469868409,0.3102276166603289,16.749761450110814,20.207606020109104,7.542101218327992,0.006641703872880427,0.3549205708653779,16.723822961405006,3.8083380492398518,2.75138092372078,0.0024229132980128267,0.853822454348619,6.71414059903534,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
30.0,2,5,5,199.36281818533547,0.00627566681610432,0.010021624720883438,0.010021624720883438,0.010021624720883438,3.8658851555277214,3.8654018877095724,3.8654018877095724,20.004043569583736,6.735960515723758,0.005931596523694738,0.31148482426255464,16.720813878738074,20.004043569583736,6.735960515723758,0.005931596523694738,0.31148482426255464,16.720813878738074,20.1780500357092,7.448755266670749,0.006559274025211496,0.35378753191522383,16.72440302784217,3.862282338294177,2.777119263343396,0.002445493991522222,0.8537293278595652,6.71660491091957,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
30.0,3,5,5,199.36281818533547,0.009863628478653652,0.012972895575654775,0.012972895575654775,0.012972895575654775,3.8083770485839765,3.8080763349633364,3.8080763349633364,20.031203275560028,6.82625897408744,0.006011156626601891,0.30970766042977876,16.758599366257425,20.031203275560028,6.82625897408744,0.006011156626601891,0.30970766042977876,16.758599366257425,20.216962473867834,7.47309627812233,0.006580757100484062,0.3539039400265411,16.74038746922531,3.799956179250268,2.733427904592627,0.0024070377822469086,0.8531705689252427,6.74303482670007,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
30.0,4,5,5,199.36281818533547,0.0065920694974238355,0.009545277625834103,0.009545277625834103,0.009545277625834103,3.8542308116217394,3.8552751146765036,3.8552751146765036,20.07181974045139,6.778929722544687,0.005969650658137872,0.3115313875070815,16.759809375352443,20.07181974045139,6.778929722544687,0.005969650658137872,0.3115313875070815,16.759809375352443,20.055201922797618,7.417534672756707,0.006532017966452767,0.3558828779189334,16.73322241903978,3.844665063348966,2.7769188089117383,0.002445405967270096,0.8535741170444756,6.724018218459434,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
0.0,0,2,5,399058.9152159164,0.04500150647447043,0.12502974152718593,0.12502974152718593,0.12502974152718593,3.8338011135530627,3.8343331127490297,3.8343331127490297,38.29039686955131,9.29475787737274,0.008184870634797474,0.21685128977418278,19.51898184679558,38.29039686955131,9.29475787737274,0.008184870634797474,0.21685128977418278,19.51898184679558,38.26129220091081,10.472117242597237,0.009221641492324495,0.2922970633669976,19.48321753247663,3.7873033037574304,2.7204416297899385,0.0023955936349406115,0.8484719106356883,6.961285140502734,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
0.0,1,2,5,399058.9152159164,0.45484875450957674,0.32611860717106966,0.32611860717106966,0.32611860717106966,3.854972624296483,3.8547373394249353,3.8547373394249353,38.15544142858546,9.473991201081482,0.008343100750275393,0.21574122231623727,19.721542990742424,38.15544142858546,9.473991201081482,0.008343100750275393,0.21574122231623727,19.721542990742424,38.712117997484874,10.749584682733285,0.00946642931454519,0.2996328238408334,19.810317296569497,3.786129170040339,2.744904529463764,0.002417251035296427,0.8483166564457658,7.1786776487149675,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
0.0,2,2,5,399058.9152159164,0.4900605425516801,0.5976523609209622,0.5976523609209622,0.5976523609209622,3.8643573755786944,3.8641648138183995,3.8641648138183995,38.38334867142654,9.235832589065902,0.008132982989495306,0.21242654536139294,19.742171094463064,38.38334867142654,9.235832589065902,0.008132982989495306,0.21242654536139294,19.742171094463064,39.020172880919766,10.346895489772626,0.009111374009965397,0.2649335123931657,19.92712476512579,3.802972017963145,2.747522357442874,0.0024194410607653654,0.8482235039318123,7.4358866190503905,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
0.0,3,2,5,399058.9152159164,0.4816738098535211,0.20783090697092632,0.20783090697092632,0.20783090697092632,3.808309608552957,3.807840317198955,3.807840317198955,39.13349943027109,9.18692934338692,0.008090243179828574,0.21636223907592705,19.64077586039074,39.13349943027109,9.18692934338692,0.008090243179828574,0.21636223907592705,19.64077586039074,38.093382649537396,10.270736210206136,0.009044671017988367,0.30361509381234425,19.70928372313615,3.756458363955389,2.71655941715983,0.0023922711796076548,0.8484563852166961,7.117436980102248,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
0.0,4,2,5,399058.9152159164,0.6062720581771757,0.463230211521234,0.463230211521234,0.463230211521234,3.847843410802025,3.8498422013981264,3.8498422013981264,36.782250659626484,9.354406712921868,0.008237726572136757,0.21498047678561724,19.747933169841996,36.782250659626484,9.354406712921868,0.008237726572136757,0.21498047678561724,19.747933169841996,37.796229855732314,10.385102442729158,0.00914538323725618,0.28441791322843324,19.83591738819493,3.798611926671801,2.763436590578455,0.002433551985843967,0.8483942835407271,7.276085214348285,100.0,feasible_generalized_least_squares,feasible_generalized_least_squares,False,False,True,True,False,True
