scope,noise_seed,ols_test_rmse,ridge_test_rmse,weighted_regression_test_rmse,ols_mean_cost_error,ridge_mean_cost_error,weighted_regression_mean_cost_error,ridge_alpha,weighted_interval_noise_variance,weighted_event_variance,weighted_background_variance
learnable,1,4.031133639385169,4.031133639385169,4.0253166615892395,0.5993855056176857,0.5993855056176857,0.3878031042029015,0.0,1e-08,0.08178040502789213,7.434166603162689
learnable,2,4.038718138588489,4.038566562440425,4.033187587472433,0.5152795176773097,0.8766705384453396,0.449133434808933,0.1,1e-08,0.09569250040606687,7.074096548408377
learnable,3,4.029444655917203,4.029431657308348,4.025680295509231,0.5716528482576417,0.6214336504394442,0.47418433911929636,0.01,1e-08,0.08159730406114162,7.517031566541349
learnable,4,4.0053613799330074,4.0053613799330074,4.002317728895024,0.3506510849558245,0.3506510849558245,0.32457414268839935,0.0,1e-08,0.09314091951058877,7.295778209483282
learnable,5,4.047638099053453,4.047638099053453,4.042276902274998,0.4765978664272019,0.4765978664272019,0.43091691797910364,0.0,1e-08,0.08630842944584582,7.347280896212574
learnable,6,4.037018458851969,4.037018458851969,4.030514169701964,0.35544994264309765,0.35544994264309765,0.4053963956138241,0.0,1e-08,0.08561831187934948,7.22406507308466
learnable,7,4.050796664535144,4.050506250246376,4.048422173610203,0.5579101865753605,0.8807686693265425,0.3837046933657601,0.1,1e-08,0.09130138079023559,7.142124654317101
learnable,8,4.058856557018131,4.058856557018131,4.052312884034167,0.4450874494837538,0.4450874494837538,0.33089107849868693,0.0,1e-08,0.08204289361664131,7.061213195654029
learnable,9,4.049541739645114,4.049541739645114,4.0442260398969525,0.7408552721893499,0.7408552721893499,0.6241294526383173,0.0,1e-08,0.09159746050048936,7.065813363616447
learnable,10,4.04586183377204,4.04586183377204,4.040203889270977,0.6642091159228602,0.6642091159228602,0.6043820616570044,0.0,1e-08,0.10179267613854834,7.068952164093115
learnable,11,4.0391732650838525,4.0391732650838525,4.037382776821284,0.35470066548442464,0.35470066548442464,0.203601169933877,0.0,1e-08,0.07652803321072704,7.680242036924416
learnable,12,4.030316031529278,4.030316031529278,4.024288725514456,0.45235041053260916,0.45235041053260916,0.47558323906240685,0.0,1e-08,0.08334886322091944,7.14947025962671
learnable,13,4.027102238894081,4.027739278788701,4.020620027741792,0.5596943488798131,1.0392633072421829,0.5775202720325002,0.1,1e-08,0.08856984304313222,7.326004211457323
learnable,14,4.03224432778711,4.032129070721208,4.027254717054695,0.6736204482164349,0.8920107688058271,0.5370015289046735,0.1,1e-08,0.08537509317606382,7.302106652749127
learnable,15,4.037617160748921,4.03749991610861,4.032636823287988,0.5531800997871442,0.6738087990066121,0.4065841725613646,0.1,1e-08,0.07523736001171409,7.500417498846774
learnable,16,4.0596384908396885,4.059708804944587,4.055845844489582,0.518562542947929,0.8054195302089971,0.45071825692386963,0.1,1e-08,0.09560051624264378,6.814351164608014
learnable,17,4.050794606959349,4.051012324747155,4.046831912956228,0.45685663685449873,0.9416592485537074,0.2742484246679217,0.1,1e-08,0.0936483640446591,7.301162729206741
learnable,18,4.01581810658456,4.016306887619292,4.0105120198066935,0.601906610468856,1.076056717304904,0.6375967771114389,0.1,1e-08,0.09121037149995309,7.252654730937395
learnable,19,4.028676721973167,4.028676721973167,4.026015028753329,0.6248275574748658,0.6248275574748658,0.48387372307832727,0.0,1e-08,0.08605936436480566,7.441667565590277
learnable,20,4.014984569161183,4.014984569161183,4.011660248853399,0.6005152866628226,0.6005152866628226,0.6783350885567693,0.0,1e-08,0.086218573265722,7.372825694340527
learnable,21,4.0191936239173875,4.0191936239173875,4.016000841319717,0.3331664027378288,0.3331664027378288,0.3504696022057304,0.0,1e-08,0.0830968049629963,7.448647187187426
learnable,22,4.015324486562072,4.015324486562072,4.008519536867281,0.42575538747928127,0.42575538747928127,0.3376505919414354,0.0,1e-08,0.08904489923543599,7.61763455430448
learnable,23,4.048322340973534,4.048322340973534,4.043542463754638,0.40966961282714626,0.40966961282714626,0.25303389746219024,0.0,1e-08,0.0904096086951674,7.283505621571905
learnable,24,4.031580286066962,4.031580286066962,4.028172291497252,0.520227006198867,0.520227006198867,0.4365105626545247,0.0,1e-08,0.08802004808581114,7.317169566558775
learnable,25,4.061019531676719,4.061019531676719,4.054978335900309,0.5456687027237584,0.5456687027237584,0.4477461448398394,0.0,1e-08,0.08239560896945637,7.5214377420124165
learnable,26,4.042744617767425,4.0428107897733705,4.0350746755776035,0.6803267574731552,0.7303326510171694,0.5122295027256132,0.01,1e-08,0.08045159023552499,7.6579659320062845
learnable,27,4.063082154225968,4.062929529147565,4.056814358569071,0.6044210796085379,0.9056688266898624,0.46223375019558555,0.1,1e-08,0.0972942610435262,7.136541028720315
learnable,28,4.029532264806128,4.029532264806128,4.024557894208668,0.6582319853375255,0.6582319853375255,0.5549178606875322,0.0,1e-08,0.0863876973338955,7.422174241430669
learnable,29,4.036705258154632,4.037080317285347,4.032686159539485,0.5300654705522059,0.46817164347767126,0.4576461847712096,0.1,1e-08,0.09298232313892611,7.000019803341176
